Date,Classique,Précarité,R Classique,R Précarité
4/24/2023,7.212716284,7.296782755,0,0
5/1/2023,7.321165577,7.460183873,0.015035846,0.022393584
5/8/2023,7.360211438,7.46538476,0.005333285,0.000697153
5/15/2023,7.38,7.46538476,0.002688586,0
5/22/2023,7.4,7.473191489,0.002710027,0.001045724
5/29/2023,7.181762452,7.35,-0.029491561,-0.016484455
6/5/2023,7.364569083,7.35,0.025454285,0
6/12/2023,7.31987536,7.35,-0.006068749,0
6/19/2023,7.56236911,7.65,0.033128126,0.040816327
6/26/2023,7.52,7.658032859,-0.005602624,0.001050047
7/3/2023,7.606139197,7.85,0.011454681,0.025067422
7/10/2023,7.64,7.705,0.004451773,-0.018471338
7/17/2023,7.71,7.95,0.009162304,0.031797534
7/24/2023,7.9,8.06,0.02464332,0.013836478
7/31/2023,7.72,8.01,-0.02278481,-0.006203474
8/7/2023,7.75,8.18,0.00388601,0.021223471
8/14/2023,7.905697125,8.241146191,0.020089952,0.007475084
8/21/2023,8.036419327,8.289956933,0.01653519,0.00592281
8/28/2023,7.991681373,8.34673224,-0.005566901,0.006848685
9/4/2023,8.025,8.386170213,0.004169164,0.00472496
9/11/2023,8.152286663,8.507569356,0.015861266,0.014476112
9/18/2023,8.246682325,8.482015451,0.011579041,-0.003003667
9/25/2023,8.218659133,8.508099342,-0.003398117,0.0030752
10/2/2023,8.329343573,8.549961059,0.013467457,0.00492022
10/9/2023,8.33,8.72,7.88E-05,0.019887686
10/16/2023,8.511351487,8.649289957,0.021770887,-0.00810895
10/23/2023,8.55,8.75,0.00454082,0.011643735
10/30/2023,8.592955326,8.73,0.005024015,-0.002285714
11/6/2023,8.51,8.761538462,-0.009653876,0.003612653
11/13/2023,8.52,8.78,0.001175088,0.002107112
11/20/2023,8.53,8.78,0.001173709,0
11/27/2023,8.68,8.81,0.017584994,0.003416856
12/4/2023,8.773290323,8.9625,0.010747733,0.017309875
12/11/2023,8.8,9.07,0.003044431,0.011994421
12/18/2023,8.82,9.07,0.002272727,0
1/1/2024,8.61,8.81,-0.023809524,-0.028665932
1/8/2024,8.32,8.57,-0.033681765,-0.027241771
1/15/2024,8.35,8.522984195,0.003605769,-0.005486092
1/22/2024,8.35,8.53,0,0.000823163
1/29/2024,8.01,8.15,-0.040718563,-0.044548652
2/5/2024,8.078080456,8.184717623,0.008499433,0.004259831
2/12/2024,7.931295908,8.093736161,-0.018170721,-0.011116017
2/19/2024,7.807852767,7.843737029,-0.015564057,-0.030887976
2/26/2024,7.515867693,7.73,-0.037396335,-0.014500362
3/4/2024,7.27325543,7.377438078,-0.032280007,-0.045609563
3/11/2024,7.18,7.25,-0.01282169,-0.017274029
3/18/2024,7.01,7.25,-0.02367688,0
3/25/2024,7.01,7.43,0,0.024827586
4/1/2024,7.15,7.85,0.019971469,0.056527591
4/8/2024,7.29,7.86,0.01958042,0.001273885
4/15/2024,7.62,7.89,0.04526749,0.003816794
4/22/2024,7.65,7.92,0.003937008,0.003802281
4/29/2024,7.745,8.01,0.012418301,0.011363636
5/6/2024,7.75,8.02,0.000645578,0.001248439
5/13/2024,7.75,8.02,0,0
5/20/2024,7.72,8.02,-0.003870968,0
5/27/2024,7.89,8.4,0.022020725,0.047381546
6/3/2024,7.82,8.38,-0.00887199,-0.002380952
6/10/2024,7.75,8.38,-0.008951407,0
6/17/2024,7.75,8.26,0,-0.014319809
6/24/2024,7.74,8.25,-0.001290323,-0.001210654
7/1/2024,7.74,8.22,0,-0.003636364
7/8/2024,7.76,8.29,0.002583979,0.008515815
7/15/2024,7.89,8.24,0.016752577,-0.006031363
7/22/2024,7.865789,8.3,-0.003068568,0.007281553
7/29/2024,7.865789,8.55,0,0.030120482
8/5/2024,7.862189,8.570675,-0.000457678,0.002418129
8/12/2024,7.8406,8.4513,-0.002745927,-0.013928308
8/19/2024,7.840614,8.451364,1.79E-06,7.57E-06
8/26/2024,7.887143,8.449013,0.005934357,-0.00027818
9/2/2024,7.953,8.443,0.008349918,-0.000711681
9/9/2024,8.061539,8.492801,0.013647554,0.005898496
9/16/2024,8.274618,8.752801,0.026431554,0.030614164
9/23/2024,8.5,8.95,0.027237753,0.022529816
9/30/2024,8.453078,9.1528,-0.005520235,0.022659218
10/7/2024,8.388461,9.568416,-0.007644198,0.045408618
10/14/2024,8.388461,9.308416,0,-0.027172732
10/21/2024,8.3295,9.408416,-0.007028822,0.010742966
10/28/2024,8.3295,9.42816,0,0.002098547
11/4/2024,8.336857,9.439071,0.000883246,0.001157278
11/11/2024,8.236857,9.459071,-0.011994928,0.002118853
11/18/2024,8.176857,9.459071,-0.007284332,0
11/25/2024,8.186857,9.719071,0.001222964,0.027486843
12/2/2024,8.173857,9.719071,-0.001587911,0
12/9/2024,7.74,9.67,-0.053078614,-0.005048939
12/16/2024,7.81,9.72,0.009043928,0.005170631
12/23/2024,7.97,9.82,0.020486556,0.010288066
12/30/2024,7.97,9.82,0,0
